Sort,ID,Sampling_status,Collection_date,Locale,Latitude,Longitude
0,TX_008,Post-storm,5/23/21,Liberty,30.0619498,-94.7858481
1,TX_009,Post-storm,5/23/21,Liberty,30.0619498,-94.7858481
2,TX_010,Post-storm,5/23/21,Liberty,30.0619498,-94.7858481
3,TX_011,Post-storm,5/23/21,Liberty,30.0619498,-94.7858481
4,TX_020,Post-storm,5/25/21,Gonzales ,29.510626,-97.4120301
5,TX_021,Post-storm,5/25/21,Gonzales ,29.510626,-97.4120301
6,TX_022,Post-storm,5/25/21,Gonzales ,29.510626,-97.4120301
7,TX_023,Post-storm,5/25/21,Gonzales ,29.510626,-97.4120301
9,TX_025,Post-storm,5/25/21,Gonzales ,29.510626,-97.4120301
11,TX_027,Post-storm,5/25/21,Gonzales ,29.510626,-97.4120301
13,TX_029,Post-storm,5/25/21,Gonzales ,29.510626,-97.4120301
14,TX_032,Post-storm,5/25/21,NewBraunfels,29.6654291,-98.1141659
15,TX_033,Post-storm,5/25/21,NewBraunfels,29.6654291,-98.1141659
16,TX_034,Post-storm,5/25/21,NewBraunfels,29.6654291,-98.1141659
17,TX_036,Post-storm,5/25/21,NewBraunfels,29.6654291,-98.1141659
18,TX_045,Post-storm,5/26/21,Natalia,29.2022029,-98.8273848
19,TX_046,Post-storm,5/26/21,Natalia,29.2022029,-98.8273848
20,TX_047,Post-storm,5/26/21,Natalia,29.2022029,-98.8273848
21,TX_060,Post-storm,5/26/21,Llano ,30.7610368,-98.7512359
22,TX_061,Post-storm,5/26/21,Llano ,30.7610368,-98.7512359
23,TX_062,Post-storm,5/26/21,Llano ,30.7610368,-98.7512359
24,TX_073,Post-storm,5/27/21,Austin,30.317282,-97.7357398
25,TX_074,Post-storm,5/27/21,Austin,30.317282,-97.7357398
26,TX_075,Post-storm,5/27/21,Austin,30.317282,-97.7357398
27,TX_076,Post-storm,5/27/21,Austin,30.317282,-97.7357398
28,TX_077,Post-storm,5/27/21,Austin,30.317282,-97.7357398
29,TX_078,Post-storm,5/27/21,Austin,30.317282,-97.7357398
30,TX_079,Post-storm,5/27/21,Austin,30.317282,-97.7357398
31,TX_101,Post-storm,5/29/21,Trinidad,32.2023039,-96.0930818
32,TX_102,Post-storm,5/29/21,Trinidad,32.2023039,-96.0930818
33,TX_103,Post-storm,5/29/21,Trinidad,32.2023039,-96.0930818
34,TX_104,Post-storm,5/29/21,Fate,32.948566,-96.3936991
35,TX_105,Post-storm,5/29/21,Fate,32.948566,-96.3936991
36,TX_107,Post-storm,5/29/21,Fate,32.948566,-96.3936991
37,TX_215,Storm,2/16/21,Natalia,29.2022029,-98.8273848
38,TX_216,Storm,2/16/21,Natalia,29.2022029,-98.8273848
39,TX_217,Storm,2/20/21,Llano ,30.7610368,-98.7512359
40,TX_218,Storm,2/20/21,Llano ,30.7610368,-98.7512359
41,TX_220,Storm,2/15/21,Fate,32.948566,-96.3936991
42,TX_221,Storm,Unknown,Liberty,30.0619498,-94.7858481
43,TX_222,Storm,Unknown,Liberty,30.0619498,-94.7858481
44,TX_223,Storm,Unknown,Liberty,30.0619498,-94.7858481
45,TX_224,Storm,2/21/21,Trinidad,32.2023039,-96.0930818
46,TX_225,Storm,2/21/21,Trinidad,32.2023039,-96.0930818
47,TX_226,Storm,2/14/21,Fate,32.948566,-96.3936991
48,TX_227,Storm,2/21/21,NewBraunfels,29.6654291,-98.1141659
49,TX_228,Storm,2/21/21,NewBraunfels,29.6654291,-98.1141659
50,TX_229,Storm,2/21/21,NewBraunfels,29.6654291,-98.1141659
51,TX_230,Storm,2/19/21,Gonzales ,29.510626,-97.4120301
52,TX_231,Storm,2/19/21,Gonzales ,29.510626,-97.4120301
53,TX_232,Storm,2/19/21,Gonzales ,29.510626,-97.4120301
55,TX_234,Storm,2/19/21,Gonzales ,29.510626,-97.4120301
56,TX_235,Storm,2/19/21,Gonzales ,29.510626,-97.4120301
57,TX_236,Storm,2/19/21,Gonzales ,29.510626,-97.4120301
58,TX_237,Storm,2/19/21,Gonzales ,29.510626,-97.4120301
59,TX_238,Storm,2/19/21,Gonzales ,29.510626,-97.4120301
60,TX_239,Storm,3/4/21,Austin,30.317282,-97.7357398
61,TX_240,Storm,3/4/21,Austin,30.317282,-97.7357398
62,TX_241,Storm,3/8/21,Austin,30.317282,-97.7357398
63,TX_242,Storm,3/8/21,Austin,30.317282,-97.7357398
64,TX_243,Storm,3/4/21,Austin,30.317282,-97.7357398
